date,lastUpdateTime,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2022-07-20,,4913840,0,301436,22994,,20213,4589410,28072,0,0,0,,0,52
2022-07-21,,4939904,0,301704,23072,,20282,4615128,26064,0,0,0,,0,69
2022-07-22,,4964889,0,301987,23164,,20318,4639738,24985,3,0,0,,0,36
2022-07-23,,4988264,0,302326,23224,,20360,4662714,23375,0,0,0,,0,42
2022-07-24,,5010666,0,302608,23297,,20409,4684761,22402,0,0,0,,0,49
2022-07-25,,5028631,0,302893,23353,,20459,4702385,17965,0,0,0,,0,50
2022-07-26,,5054540,0,303200,23396,,20500,4727944,25909,1,0,0,,0,41
2022-07-27,,5081141,0,303555,23434,,20533,4754152,26601,1,0,0,,0,33
2022-07-28,,5106026,0,303917,23501,,20582,4778608,24885,0,0,0,,0,49
2022-07-29,,5130275,0,304208,23563,,20633,4802504,24249,1,0,0,,0,51
2022-07-30,,5152593,0,304534,23627,,20675,4824432,22318,0,0,0,,0,42
2022-07-31,,5174467,0,304863,23662,,20726,4845942,21874,0,0,0,,0,51
2022-08-01,,5191827,0,305210,23704,,20787,4862913,17360,0,0,0,,0,61
2022-08-02,,5216119,0,305513,23746,,20850,4886860,24292,0,0,0,,0,63
2022-08-03,,5240799,0,305846,23782,,20908,4911171,24680,0,0,0,,0,58
2022-08-04,,5264782,0,306204,23841,,20968,4934737,23983,0,0,0,,0,60
2022-08-05,,5287626,0,306635,23899,,21019,4957092,22844,0,0,0,,0,51
2022-08-06,,5308583,0,307017,23954,,21072,4977612,20957,0,0,0,,0,53
2022-08-07,,5331691,0,307307,24001,,21128,5000383,23108,0,0,0,,0,56
2022-08-08,,5348157,0,307542,24034,,21177,5016581,16466,0,0,0,,0,49
2022-08-09,,5372961,0,307818,24055,,21241,5041088,24804,0,0,0,,0,64
2022-08-10,,5398259,0,308189,24084,,21327,5065986,25298,0,0,0,,0,86
2022-08-11,,5422523,0,308504,24129,,21383,5089890,24264,0,0,0,,0,56
2022-08-12,,5445908,0,308802,24164,,21441,5112942,23385,0,0,0,,0,58
2022-08-13,,5468619,0,309118,24207,,21502,5135294,22711,0,0,0,,0,61
2022-08-14,,5491267,0,309399,24232,,21580,5157636,22649,1,0,0,,0,78
2022-08-15,,5508415,0,309656,24258,,21641,5174501,17148,0,0,0,,0,61
2022-08-16,,5532984,0,309994,24285,,21712,5198705,24569,0,0,0,,0,71
2022-08-17,,5559514,0,310339,24322,,21780,5224853,26530,0,0,0,,0,68
2022-08-18,,5584597,0,310868,24361,,21824,5249368,25083,0,0,0,,0,44
2022-08-19,,5608685,0,311294,24401,,21885,5273629,24727,0,0,0,,0,61
2022-08-20,,5633111,0,311960,24442,,21934,5296709,23787,0,0,0,,0,49
2022-08-21,,5656972,0,312483,24471,,22001,5320018,23861,0,0,0,,0,67
2022-08-22,,5675269,0,313252,24499,,22075,5337518,18297,0,0,0,,0,74
2022-08-23,,5703179,0,314237,24525,,22108,5364417,27910,0,0,0,,0,33
2022-08-24,,5703179,0,314237,24525,,22108,5364417,30321,0,0,0,,0,45
2022-08-25,,5733500,0,315248,24557,,22153,5393695,30321,0,0,0,,0,45
2022-08-26,,5762559,0,315973,24603,,22203,5421983,29059,0,0,0,,0,50
2022-08-27,,5790726,0,316919,24655,,22253,5449152,28167,0,0,0,,0,50
2022-08-28,,5817871,0,317857,24699,,22301,5475315,27145,0,0,0,,0,48
2022-08-29,,5846327,0,318791,24740,,22352,5502796,28456,0,0,0,,0,51
2022-08-30,,5868458,0,319580,24766,,22385,5524112,22131,0,0,0,,0,33
2022-08-31,,5901615,0,320465,24806,,22428,5556344,33157,1,0,0,,0,43
2022-09-01,,5938060,0,321216,24836,,22489,5592008,36445,0,0,0,,0,61
2022-09-02,,5974028,0,322031,24883,,22544,5627114,35968,0,0,0,,0,55
2022-09-03,,6009747,0,322732,24927,,22606,5662088,35719,0,0,0,,0,62
2022-09-04,,6044288,0,323583,24976,,22676,5695729,34541,0,0,0,,0,70
2022-09-05,,6080405,0,324229,25019,,22722,5731157,36117,0,0,0,,0,46
2022-09-06,,6106096,0,324804,25058,,22768,5756234,25645,0,0,0,,0,46
2022-09-07,,6144277,0,325510,25088,,22825,5793679,38181,0,0,0,,0,57
2022-09-08,,6187141,0,326225,25130,,22864,5835786,42864,0,0,0,,0,39
2022-09-09,,6223534,0,326969,25171,,22906,5871695,36652,0,0,0,,0,42
2022-09-10,,6259551,0,327707,25237,,22957,5906607,35716,0,0,0,,0,51
2022-09-11,,6296680,0,328514,25275,,23012,5942891,37129,0,0,0,,0,55
2022-09-12,,6330038,0,329059,25237,,23074,5975742,33358,0,0,0,,0,62
2022-09-13,,6356783,0,330119,25354,,23128,6001310,26745,0,0,0,,0,54
2022-09-14,,6404975,0,330683,25381,,23169,6048911,48192,0,0,0,,0,41
2022-09-15,,6455788,0,331569,25428,,23210,6098791,50813,0,0,0,,0,41
2022-09-16,,6502479,0,332770,25491,,23269,6144218,46691,0,0,0,,0,59
2022-09-17,,6545234,0,333459,25553,,23333,6186222,42755,0,0,0,,0,64
